"Category","V1","V2","V3","V4","V5","V6"
"BARINGO........................................",173288,177619,182419,192754,196340,199671
"BOMET...........................................",273657,280267,287567,302064,309386,314794
"BUNGOMA......................................",595497,609246,624348,666094,676979,688313
"BUSIA.............................................",284000,289921,296340,301359,300383,305264
"ELGEYO MARAKWET....................",142709,146338,150369,152498,154047,156735
"EMBU..............................................",154451,159013,164158,172070,176362,179683
"GARISSA........................................",134204,136655,139259,147118,151177,153454
"HOMABAY......................................",377377,386667,396948,407649,411712,418794
"ISIOLO............................................",38939,39664,40437,40698,42380,43017
"KAJIADO.........................................",175287,178883,182773,185184,196402,199478
"KAKAMEGA ...................................",642155,657238,673839,693234,710363,722286
"KERICHO........................................",275041,281824,289331,293413,296189,301345
"KIAMBU..........................................",415988,428727,443136,431013,453525,462249
"KILIFI..............................................",342595,349530,357017,356862,368268,374032
"KIRINYAGA.....................................",148016,152541,157659,154269,154134,157162
"KISII................................................",405572,417773,431555,435229,444548,452976
"KISUMU..........................................",313509,321589,330576,338928,348342,354462
"KITUI...............................................",400283,409792,420274,425577,427680,434953
"KWALE...........................................",195845,199726,203905,211138,215093,218370
"LAIKIPIA.........................................",121016,124377,128144,131437,133048,135480
"LAMU..............................................",31755,32512,33348,32774,33804,34360
"MACHAKOS....................................",362294,372920,384894,393409,394544,402004
"MAKUENI........................................",351436,361605,373050,374547,375189,382359
"MANDERA......................................",100436,102409,104531,112985,121578,123417
"MARSABIT......................................",62081,63091,64144,64377,66163,67131
"MERU.............................................",396318,406726,418326,420545,424590,432177
"MIGORI...........................................",353745,361963,370997,381727,392354,398965
"MOMBASA......................................",160651,164303,168307,168972,179068,182058
"MURANG'A.....................................",282869,292747,304045,320158,322670,329338
"NAIROBI.........................................",517086,527479,538688,525808,590277,599461
"NAKURU.........................................",517714,531032,545844,560557,575978,586189
"NANDI.............................................",272388,278853,285978,298363,305902,311099
"NAROK...........................................",266988,271644,276555,294476,306572,310993
"NYAMIRA........................................",190198,195687,201864,207113,206002,209820
"NYANDARUA..................................",193017,198596,204874,205082,207683,211658
"NYERI.............................................",199396,206353,214309,204924,205752,210055
"SAMBURU......................................",51761,52708,53713,57238,60701,61623
"SIAYA.............................................",304918,312722,321397,338871,344364,350453
"TAITA TAVETA...............................",85154,87539,90216,90924,90364,92022
"TANA RIVER...................................",53452,54421,55450,57918,60823,61712
"THARAKA NITHI.............................",130644,134868,139669,142864,145654,148560
"TOTAL............................................",11672423,11961862,12282443,12649740,13009076,13234501
"TRANS NZOIA................................",277798,284277,291403,320150,337903,343717
"TURKANA.......................................",213169,216380,219679,241948,248726,252283
"UASIN GISHU.................................",228779,234253,240290,266103,290672,295888
"VIHIGA............................................",214125,220094,226787,232964,236128,240539
"WAJIR.............................................",73580,75100,76746,83492,87310,88675
"WEST POKOT................................",171242,174186,177285,212863,231947,235427
