"2013","2014","2015","2016","2017","COUNTY"
3910.41,3863.23592,5844.03,"5418.1",6066.2,"Baringo"
3960.22,4094.928045,5358.46,"5573.54",5990.82,"Bomet"
9269.04,7351.74039,9972.28,"9397.0300000000007",10320.61,"Bungoma"
4311.18,4058.96516,6270.1,"6428.74",7004.16,"Busia"
3236.84,2845.235405,3850.31,"3902.65",4208.48,"Elgeyo/Marakwet"
3803.89,338.951297,4875.71,"5076.17",5696.01,"Embu"
4847,5021.285023,7361.59,"6946.48",7878.92,"Garissa"
5866.89,4902.332476,6162.35,"6577.24",7391.4,"Homa Bay"
2783.48,2659.167127,3800.83,"3591.41",4463.11,"Isiolo"
4028.79,3583.899643,6588.79,"5707.87",7269.51,"Kajiado"
10856.21,7750.028857,12329.74,"10973.2",12115.98,"Kakamega"
3905.97,3919.339552,5081.06,"5639.04",6425.32,"Kericho"
12631.44,6493.171749,11949.05,"10965.68",13884.49,"Kiambu"
7884.5,6473.749201,11520.19,"9198.86",11780.72,"Kilifi"
3267.91,3078.137373,4777.49,"4356.2299999999996",5340.52,"Kirinyaga"
7053.45,6171.351762,9180.07,"8743.35",9422.99,"Kisii"
8283.8,4942.617611,9637.62,"7853.74",8910.4,"Kisumu"
6548.25,6322.420839,10225.79,"8600.59",10194.64,"Kitui"
4671.76,4459.281644,7611.48,"6156.19",8776.06,"Kwale"
4063.93,3001.056878,5129.38,"4474.8599999999997",5698.02,"Laikipia"
1953.27,1785.108726,3080.23,"2556.9299999999998",2998.91,"Lamu"
8015.57,5888.629113,10944.62,"9279.6299999999992",9990.18,"Machakos"
5071.2,5593.526432,9449.93,"6967.53",8003.26,"Makueni"
7217.94,7791.330792,11501.41,"10084.02",10786.31,"Mandera"
4112.45,4514.75567,5834.81,"5984.28",7382.44,"Marsabit"
6165.87,5649.339059,8495.15,"9975.92",13431.76,"Meru"
5555.44,5077.975631,7269.36,"7124.04",7659.7,"Migori"
11693.42,4522.091425,9979.49,"9495.08",12521.05,"Mombasa"
5621.87,4659.639002,6900.28,"6582.4",7895.19,"Murang'a"
25344.28,1306.858928,30828.69,"25918.23",38630.07,"Nairobi City"
10038.05,7061.088726,13732.08,"11159.42",12898.64,"Nakuru"
4025.85,4136.872273,5443.18,"5645.55",6079.41,"Nandi"
9469.84,4600.396333,8999.34,"7603.46",11193.54,"Narok"
3417.08,3614.387064,5544.18,"4847.0600000000004",5412.25,"Nyamira"
3639.82,3747.08837,5597.05,"5180.37",5768.68,"Nyandarua"
4550.37,3870.755753,6277.55,"6096.88",6794.65,"Nyeri"
3028.64,3090.433118,4340.7,"4232.87",4703.03,"Samburu"
4125.06,4345.836528,6946.32,"5886.77",6324.17,"Siaya"
2840.6,2879.275722,3885.97,"3981.43",4722.96,"Taita/Taveta"
3206.1,3466.517358,4697.69,"4648.38",6078.21,"Tana River"
2518.75,2729.636922,3815.75,"3700.9",4361.88,"Tharaka -Nithi"
4424.51,4436.588158,6154.87,"6002.9",6850.97,"Trans Nzoia"
8246.24,9116.605188,13383.31,"11894.19",11208.13,"Turkana"
5749.31,4515.98934,7542.63,"6518.27",7295.77,"Uasin Gishu"
3232.81,3368.07155,4367.76,"4519.82",5150.07,"Vihiga"
5766.55,6292.377858,8139.7,"8223.58",9140.18,"Wajir"
3630.83,3752.849041,4830.49,"5030.5200000000004",5485.33,"West Pokot"
277846.71,226000,365508.86,"334721.39",401605.1,"Total"
