"rowname","2012","2013","2014","2015","2016","2017","2018"
"1",173288,177619,182419,192754,196340,199671,202547
"10",284000,289921,296340,301359,300383,305264,312283
"11",142709,146338,150369,152498,154047,156735,159033
"12",154451,159013,164158,172070,176362,179683,183225
"13",173288,177619,182419,192754,196340,199671,202547
"14",273657,280267,287567,302064,309386,314794,323010
"15",595497,609246,624348,666094,676979,688313,704689
"16",284000,289921,296340,301359,300383,305264,312283
"17",142709,146338,150369,152498,154047,156735,159033
"18",154451,159013,164158,172070,176362,179683,183225
"19",173288,177619,182419,192754,196340,199671,202547
"2",273657,280267,287567,302064,309386,314794,323010
"20",273657,280267,287567,302064,309386,314794,323010
"21",595497,609246,624348,666094,676979,688313,704689
"22",284000,289921,296340,301359,300383,305264,312283
"23",142709,146338,150369,152498,154047,156735,159033
"24",154451,159013,164158,172070,176362,179683,183225
"25",173288,177619,182419,192754,196340,199671,202547
"26",273657,280267,287567,302064,309386,314794,323010
"27",595497,609246,624348,666094,676979,688313,704689
"28",284000,289921,296340,301359,300383,305264,312283
"29",142709,146338,150369,152498,154047,156735,159033
"3",595497,609246,624348,666094,676979,688313,704689
"30",154451,159013,164158,172070,176362,179683,183225
"31",173288,177619,182419,192754,196340,199671,202547
"32",273657,280267,287567,302064,309386,314794,323010
"33",595497,609246,624348,666094,676979,688313,704689
"34",284000,289921,296340,301359,300383,305264,312283
"35",142709,146338,150369,152498,154047,156735,159033
"36",154451,159013,164158,172070,176362,179683,183225
"37",173288,177619,182419,192754,196340,199671,202547
"38",273657,280267,287567,302064,309386,314794,323010
"39",595497,609246,624348,666094,676979,688313,704689
"4",284000,289921,296340,301359,300383,305264,312283
"40",284000,289921,296340,301359,300383,305264,312283
"41",142709,146338,150369,152498,154047,156735,159033
"42",154451,159013,164158,172070,176362,179683,183225
"43",173288,177619,182419,192754,196340,199671,202547
"44",273657,280267,287567,302064,309386,314794,323010
"45",595497,609246,624348,666094,676979,688313,704689
"46",284000,289921,296340,301359,300383,305264,312283
"47",142709,146338,150369,152498,154047,156735,159033
"48",154451,159013,164158,172070,176362,179683,183225
"5",142709,146338,150369,152498,154047,156735,159033
"6",154451,159013,164158,172070,176362,179683,183225
"7",173288,177619,182419,192754,196340,199671,202547
"8",273657,280267,287567,302064,309386,314794,323010
"9",595497,609246,624348,666094,676979,688313,704689
